CHR,START,STOP,ENTREZ,GENE
1,226360691,226408079,142,PARP1
13,24420926,24512810,143,PARP4
20,4220631,4249074,146,ADRA1D
5,159916783,159972544,147,ADRA1B
8,26748150,26867273,148,ADRA1A
10,111077163,111080907,150,ADRA2A
2,96112875,96116245,151,ADRA2B
4,3766348,3768526,152,ADRA2C
10,114044056,114046908,153,ADRB1
5,148825245,148828687,154,ADRB2
8,37962991,37966965,155,ADRB3
11,67266410,67286556,156,GRK2
22,25564849,25729294,157,GRK3
22,40346500,40390463,158,ADSL
1,244408494,244452134,159,ADSS
19,49766968,49807113,160,AP2A1
11,924894,1012245,161,AP2A2
22,29327680,29423179,162,AP1B1
17,35578046,35726409,163,AP2B1
16,71729000,71809201,164,AP1G1
7,44104361,44114562,165,AEBP1
19,3052910,3063107,166,AES
6,49834257,49877096,167,CRISP1
16,89972586,90002161,172,AFG3L1P
4,73481683,73504001,173,AFM
4,73431138,73456174,174,AFP
4,177430770,177442503,175,AGA
15,88803443,88875354,176,ACAN
6,32180968,32184324,177,AGER
1,99850084,99924023,178,AGL
16,67482571,67483813,181,AGRP
20,10637684,10674107,182,JAG1
1,230702523,230714297,183,AGT
3,148697784,148743008,185,AGTR1
11,57233577,57237314,187,APLNR
2,240868479,240880502,189,AGXT
20,34280268,34311802,191,AHCY
7,17298622,17346152,196,AHR
3,186612923,186621318,197,AHSG
6,31615184,31617021,199,AIF1
6,106360808,106571978,202,CRYBG1
9,127866480,127877743,203,AK1
1,33007940,33080996,204,AK2
1,65147549,65232145,205,AK4
14,104769349,104795751,207,AKT1
19,40230317,40285536,208,AKT2
9,113386317,113401333,210,ALAD
3,52198086,52214327,211,ALAS1
4,73397114,73421412,213,ALB
3,105366909,105576900,214,ALCAM
9,72900662,73080442,216,ALDH1A1
12,111766887,111817529,217,ALDH2
17,19737984,19748943,218,ALDH3A1
9,38392664,38398661,219,ALDH1B1
15,100877714,100916626,220,ALDH1A3
11,68008578,68029282,221,ALDH3B1
11,67662162,67681200,222,ALDH3B2
1,165662216,165698863,223,ALDH9A1
17,19648136,19677598,224,ALDH3A2
12,39550033,39619751,225,ABCD2
16,30053090,30070457,226,ALDOA
9,101420578,101435823,229,ALDOB
17,28573115,28577264,230,ALDOC
7,134442350,134459284,231,AKR1B1
2,29192774,29921566,238,ALK
17,6996065,7010736,239,ALOX12
10,45374176,45446119,240,ALOX5
13,30713478,30764426,241,ALOX5AP
17,8072636,8087703,242,ALOX12B
17,6853861,6954107,245,ALOX12P2
17,4630902,4642294,246,ALOX15
17,8039017,8049134,247,ALOX15B
2,232456123,232460032,248,ALPI
1,21509372,21578412,249,ALPL
2,232378534,232382889,250,ALPP
2,232406843,232410714,251,ALPPL2
1,110059994,110070700,257,ALX3
4,70592256,70607288,258,AMBN
9,114060127,114078472,259,AMBP
6,110874770,110895713,262,AMD1
16,56361452,56425538,267,AMFR
19,2249309,2252073,268,AMH
12,53423855,53431534,269,AMHR2
1,114673090,114695618,270,AMPD1
1,109616104,109632051,271,AMPD2
11,10308313,10507579,272,AMPD3
7,38383704,38631567,273,AMPH
2,127048027,127107355,274,BIN1
3,49416775,49422753,275,AMT
1,103655290,103664554,276,AMY1A
1,103687415,103696680,277,AMY1B
1,103750406,103758690,278,AMY1C
1,103616811,103625780,279,AMY2A
1,103553815,103579534,280,AMY2B
14,20684177,20698971,283,ANG
8,107249482,107498055,284,ANGPT1
8,6499651,6563409,285,ANGPT2
8,41653220,41896762,286,ANK1
4,112818109,113383740,287,ANK2
10,60026298,60733490,288,ANK3
15,89784889,89815401,290,ANPEP
4,185143241,185150382,291,SLC25A4
9,73151757,73170393,301,ANXA1
15,60347134,60402883,302,ANXA2
4,78551519,78610451,306,ANXA3
2,69644425,69827100,307,ANXA4
4,121667955,121697113,308,ANXA5
5,151100712,151157882,309,ANXA6
10,73375101,73414076,310,ANXA7
10,80150889,80205572,311,ANXA11
8,123680794,123737407,312,ANXA13
7,36512949,36724549,313,AOAH
17,42844600,42850707,314,AOC2
2,200585868,200677064,316,AOX1
12,98645141,98735433,317,APAF1
9,34329506,34343713,318,NUDT2
12,56360569,56362823,319,APOF
9,69427530,69672306,320,APBA1
15,28884483,29118315,321,APBA2
11,6395124,6419414,322,APBB1
4,40810027,41216714,323,APBB2
5,112707498,112846239,324,APC
1,159587825,159588865,325,APCS
21,44285838,44298648,326,AIRE
3,49674002,49683963,327,APEH
14,20455191,20457772,328,APEX1
11,102347211,102378670,329,BIRC2
11,102317450,102339403,330,BIRC3
17,78214186,78225636,332,BIRC5
19,35867899,35879791,333,APLP1
11,130069837,130144811,334,APLP2
11,116835751,116837950,335,APOA1
1,161222292,161223631,336,APOA2
11,116820700,116823306,337,APOA4
2,21001429,21044073,338,APOB
12,7649400,7665903,339,APOBEC1
19,44914247,44919349,341,APOC1
19,44926804,44931386,342,APOC1P1
16,25215731,25228940,343,AQP8
19,44945982,44949565,344,APOC2
11,116829706,116833072,345,APOC3
19,44942238,44945496,346,APOC4
3,195568702,195584205,347,APOD
19,44905754,44909393,348,APOE
17,66212033,66256525,350,APOH
21,25880550,26171128,351,APP
16,88809339,88811944,353,APRT
19,50854915,50860764,354,KLK3
10,88990582,89015785,355,FAS
1,172659018,172666874,356,FASLG
7,30911694,30925516,358,AQP1
12,49950741,49958881,359,AQP2
9,33441154,33447611,360,AQP3
18,26852038,26865818,361,AQP4
12,49961870,49965681,362,AQP5
12,49967194,49977139,363,AQP6
9,33383179,33402682,364,AQP7
15,58138169,58185911,366,AQP9
16,16148928,16223522,368,ABCC6
11,118572390,118603033,372,ARCN1
5,65589680,65625975,373,TRIM23
4,74445134,74455009,374,AREG
1,228082660,228099212,375,ARF1
12,48935723,48957551,377,ARF3
3,57571363,57598220,378,ARF4
17,43398959,43401137,379,ARL4D
7,127588345,127591705,381,ARF5
14,49893092,49897054,382,ARF6
6,131573144,131584332,383,ARG1
14,67619798,67651720,384,ARG2
3,49359145,49412998,387,RHOA
2,20447074,20449445,388,RHOB
1,112701106,112707434,389,RHOC
2,150468195,150539011,390,RND3
11,3826978,3840983,391,RHOG
11,46677080,46700615,392,ARHGAP1
14,32076114,32159728,394,ARHGAP5
17,81867721,81871406,396,ARHGDIA
12,14942017,14961728,397,ARHGDIB
16,268727,283010,398,ARHGDIG
4,40191053,40246967,399,RHOH
12,101393120,101407820,400,ARL1
11,72239077,72245664,401,PHOX2A
11,65014113,65022184,402,ARL2
10,102673731,102714407,403,ARL3
1,150809705,150876768,405,ARNT
11,13276652,13387266,406,ARNTL
11,75264182,75351705,408,ARRB1
17,4710489,4721499,409,ARRB2
22,50622754,50628173,410,ARSA
5,78777209,78986087,411,ARSB
11,3645128,3664416,417,ART1
4,76011184,76112802,419,ART3
12,14825569,14843495,420,ART4
22,19969896,20016808,421,ARVCF
8,18055992,18084998,427,ASAH1
12,102957686,102960516,429,ASCL1
11,2268495,2270952,430,ASCL2
17,7173431,7179564,432,ASGR1
17,7101322,7115700,433,ASGR2
20,34194569,34269344,434,ASIP
7,66075798,66093558,435,ASL
19,12737139,12748323,439,ASNA1
7,97852118,97872542,440,ASNS
17,3472374,3503419,443,ASPA
8,61500556,61714640,444,ASPH
9,130444929,130501274,445,ASS1
1,176857302,177164973,460,ASTN1
1,173903804,173917378,462,SERPINC1
16,72782885,73059698,463,ZFHX3
12,50763710,50821122,466,ATF1
1,212565334,212620777,467,ATF3
22,39519695,39522685,468,ATF4
2,215311817,215349773,471,ATIC
11,108222484,108369102,472,ATM
1,8352397,8817643,473,RERE
4,93828753,93830964,474,ATOH1
5,151742316,151772532,475,ATOX1
1,116372668,116410261,476,ATP1A1
1,160115759,160143591,477,ATP1A2
19,41966582,41997497,478,ATP1A3
13,24680411,24712493,479,ATP12A
1,160151570,160186977,480,ATP1A4
1,169105697,169132722,481,ATP1B1
17,7646627,7657768,482,ATP1B2
3,141876124,141926514,483,ATP1B3
11,117800844,117828698,486,FXYD2
16,28878405,28904509,487,ATP2A1
12,110280756,110351093,488,ATP2A2
17,3923870,3964464,489,ATP2A3
12,89588049,89709300,490,ATP2B1
3,10324023,10708031,491,ATP2B2
1,203626561,203744081,493,ATP2B4
19,35550043,35563658,495,ATP4A
13,113648804,113658186,496,ATP4B
18,46080248,46104334,498,ATP5A1
5,126531200,126595418,501,ALDH7A1
12,56638175,56646068,506,ATP5B
10,7788129,7807815,509,ATP5C1
19,1241746,1244826,513,ATP5D
20,59025467,59032382,514,ATP5E
1,111448864,111462773,515,ATP5F1
17,48892765,48895871,516,ATP5G1
12,53632726,53677408,517,ATP5G2
2,175176258,175184607,518,ATP5G3
4,672436,674338,521,ATP5I
21,25716503,25735673,522,ATP5J
3,113747019,113812056,523,ATP6V1A
2,70935882,70965406,525,ATP6V1B1
8,20197367,20226819,526,ATP6V1B2
16,2513870,2520218,527,ATP6V0C
8,103021063,103073051,528,ATP6V1C1
22,17592136,17628818,529,ATP6V1E1
1,43974487,43978295,533,ATP6V0B
6,31544462,31548427,534,ATP6V1G2
17,42458844,42522611,535,ATP6V0A1
21,33903453,33915980,539,ATP5O
13,51930436,52012125,540,ATP7B
3,142449235,142578826,545,ATR
2,240713764,240820308,547,KIF1A
9,91213815,91361913,549,AUH
2,74526645,74529939,550,AUP1
20,3082556,3084724,551,AVP
12,63142759,63150942,552,AVPR1A
1,206109692,206117699,553,AVPR1B
19,41219203,41261766,558,AXL
7,99966720,99976157,563,AZGP1
19,825097,832018,566,AZU1
9,101360417,101383519,570,BAAT
21,29194071,29630751,571,BACH1
11,64269830,64284704,572,BAD
9,33247820,33264720,573,BAG1
8,142449430,142545009,575,ADGRB1
1,31727117,31764893,576,ADGRB2
6,68635367,69389511,577,ADGRB3
6,33572547,33580293,578,BAK1
4,13540830,13545050,579,NKX3-2
2,214725646,214809711,580,BARD1
19,48954815,48961798,581,BAX
11,66510606,66533627,582,BBS1
16,56466836,56520283,583,BBS2
15,72686179,72738476,585,BBS4
12,24810022,24949459,586,BCAT1
19,48795062,48811029,587,BCAT2
3,165772904,165837472,590,BCHE
19,41397460,41425005,593,BCKDHA
6,80106647,80346270,594,BCKDHB
11,69641087,69654474,595,CCND1
18,63123346,63320128,596,BCL2
15,79960889,79971446,597,BCL2A1
20,31664452,31723989,598,BCL2L1
14,23298790,23311759,599,BCL2L2
19,44747705,44760044,602,BCL3
3,187721377,187745727,604,BCL6
12,122019422,122062044,605,BCL7A
1,147541412,147626216,607,BCL9
16,11965107,11968068,608,TNFRSF17
19,589893,617159,610,HCN2
7,128772491,128775790,611,OPN1SW
22,23179704,23318037,613,BCR
2,218658764,218663443,617,BCS1L
2,47335315,47335514,618,BCYRN1
3,197509783,197573323,622,BDH1
14,96255824,96268967,623,BDKRB1
14,96204679,96244166,624,BDKRB2
11,27654893,27722058,627,BDNF
6,31945650,31952084,629,CFB
20,17493905,17569220,631,BFSP1
1,156241962,156243321,632,BGLAP
19,42507304,42561234,634,CEACAM1
5,79111779,79132290,635,BHMT
12,32106835,32383633,636,BICD1
22,17734138,17774770,637,BID
22,43110748,43129712,638,BIK
6,106086320,106109939,639,PRDM1
8,11494001,11564604,640,BLK
15,90717327,90816165,641,BLM
17,30248195,30292056,642,BLMH
11,118883766,118897799,643,CXCR5
7,43758680,43807342,644,BLVRA
19,40447789,40465840,645,BLVRB
15,83255903,83284714,646,BNC1
10,22321211,22331484,648,BMI1
8,22164736,22212326,649,BMP1
20,6767664,6780280,650,BMP2
4,81030965,81057531,651,BMP3
14,53949736,53958761,652,BMP4
6,55753645,55875564,653,BMP5
6,7726797,7881422,654,BMP6
20,57168748,57266629,655,BMP7
1,39757182,39788861,656,BMP8B
10,86756601,86932838,657,BMPR1A
4,94757968,95158448,658,BMPR1B
2,202376936,202567751,659,BMPR2
8,22245104,22254600,661,POLR3D
5,173144442,173164387,662,BNIP1
15,59659146,59689534,663,BNIP2
10,131966455,131982013,664,BNIP3
8,26382898,26505636,665,BNIP3L
2,241558721,241574138,666,BOK
6,56457987,56954628,667,DST
3,138944224,138947140,668,FOXL2
7,134646808,134679813,669,BPGM
6,3118374,3153578,670,BPHL
20,38260149,38337505,671,BPI
17,43044295,43170245,672,BRCA1
7,140719327,140924764,673,BRAF
13,32315474,32400266,675,BRCA2
1,91949371,92014426,676,BRDT
14,68787660,68796253,677,ZFP36L1
2,43222402,43226609,678,ZFP36L2
19,571277,583493,682,BSG
4,15702950,15738313,683,BST1
19,17402939,17405648,684,BST2
4,74744759,74794686,685,BTC
3,15601341,15645822,686,BTD
9,70384597,70414624,687,KLF9
13,73054976,73077542,688,KLF5
5,73498408,73505635,689,BTF3
12,92140278,92145897,694,BTG1
6,26501221,26510422,696,BTN1A1
2,110637698,110678114,699,BUB1
15,40161023,40221136,701,BUB1B
6,41921188,41933046,705,BYSL
22,43151514,43163242,706,TSPO
17,5432777,5448830,708,C1QBP
11,57597387,57614853,710,SERPING1
3,55657206,55659382,711,ERC2-IT1
1,22636506,22639608,712,C1QA
1,22652762,22661538,713,C1QB
1,22643630,22648110,714,C1QC
12,7080209,7092607,715,C1R
12,6988259,7071032,716,C1S
6,31897785,31945672,717,C2
19,6677704,6730562,718,C3
12,8058302,8066471,719,C3AR1
6,31982024,32002681,720,C4A
6,32014762,32035418,721,C4B
1,207104262,207144972,722,C4BPA
1,207088842,207099993,725,C4BPB
11,77066932,77126155,726,CAPN5
9,120952335,121050276,727,C5
19,47290023,47322066,728,C5AR1
5,41142234,41261438,729,C6
5,40909252,40982939,730,C7
1,56854806,56918221,731,C8A
1,56929210,56966140,732,C8B
9,136945246,136946974,733,C8G
8,89901859,89927888,734,OSGIN2
5,39284262,39424868,735,C9
11,65089324,65111860,738,VPS51
11,65122183,65127371,740,MRPL49
11,65116403,65117708,741,ZNHIT2
11,30384493,30586872,744,MPPED2
11,61752642,61788518,745,MYRF
11,61768501,61792802,746,TMEM258
11,61680433,61747001,747,DAGLA
17,45221444,45247320,752,FMNL1
18,13217498,13652755,753,LDLRAD4
21,44849585,44873903,754,PTTG1IP
21,44328944,44339402,755,C21orf2
21,33432485,33480011,757,TMEM50B
22,43411196,43507848,758,MPPED1
8,85327608,85379014,759,CA1
8,85463852,85481493,760,CA2
8,85373436,85449040,761,CA3
17,60149936,60170899,762,CA4
16,87881546,87936529,763,CA5A
1,8945867,8975092,765,CA6
16,66844379,66854153,766,CA7
8,60187347,60281412,767,CA8
9,35673856,35681159,768,CA9
19,48637942,48646312,770,CA11
15,63321378,63382161,771,CA12
19,13206442,13633025,773,CACNA1A
9,137877789,138124624,774,CACNA1B
12,1970786,2697950,775,CACNA1C
3,53328963,53813733,776,CACNA1D
1,181413102,181808084,777,CACNA1E
1,201039512,201112566,779,CACNA1S
6,30876421,30900156,780,DDR1
7,81946444,82443798,781,CACNA2D1
17,39173456,39197703,782,CACNB1
10,18140677,18541869,783,CACNB2
12,48813794,48828941,784,CACNB3
2,151832768,152099475,785,CACNB4
17,67044590,67056797,786,CACNG1
3,48856931,48898993,788,SLC25A20
2,27217390,27243943,790,CAD
8,90058608,90095475,793,CALB1
16,71358713,71390438,794,CALB2
11,14966668,14972354,796,CALCA
11,14904997,15082342,797,CALCB
7,93424487,93574730,799,CALCR
7,134744252,134970728,800,CALD1
14,90396502,90408261,801,CALM1
14,90396502,90408261,805,CALM1
14,90396502,90408261,808,CALM1
10,5524009,5526771,810,CALML3
19,12938578,12944489,811,CALR
7,128739292,128771807,813,CALU
5,111223653,111494886,814,CAMK4
5,150219491,150290291,815,CAMK2A
7,44217150,44334577,816,CAMK2B
4,113451032,113761927,817,CAMK2D
10,73812501,73874591,818,CAMK2G
5,134738501,134752160,819,CAMLG
3,48223347,48225491,820,CAMP
5,179678628,179730925,821,CANX
2,85394748,85418432,822,CAPG
11,65180566,65212006,823,CAPN1
1,223701593,223776018,824,CAPN2
15,42359500,42412318,825,CAPN3
19,36139575,36150353,826,CAPNS1
19,5911707,5915877,828,CAPS
1,112619173,112671619,829,CAPZA1
7,116811070,116922049,830,CAPZA2
5,96525267,96779595,831,CAST
1,19338776,19485539,832,CAPZB
11,3000922,3057613,833,CARS
11,105025443,105035250,834,CASP1
7,143288215,143307696,835,CASP2
4,184627696,184649509,836,CASP3
11,104942866,104969436,837,CASP4
11,104994235,105023168,838,CASP5
4,109688622,109703583,839,CASP6
10,113679162,113730907,840,CASP7
2,201233443,201287711,841,CASP8
1,15490832,15526534,842,CASP9
2,201182881,201229406,843,CASP10
1,160190556,160201886,844,CASQ1
1,115700007,115768781,845,CASQ2
3,122183683,122291629,846,CASR
11,34438925,34472062,847,CAT
7,116524785,116561184,857,CAV1
7,116287380,116508541,858,CAV2
3,8733800,8841808,859,CAV3
6,45328157,45664349,860,RUNX2
21,34787801,36004667,861,RUNX1
8,91954967,92103286,862,RUNX1T1
16,88874858,88977204,863,CBFA2T3
1,24899511,24965121,864,RUNX3
16,67029116,67101058,865,CBFB
14,94304248,94323394,866,SERPINA6
11,119206276,119313926,867,CBL
3,105655461,105869552,868,CBLB
16,49277917,49281831,869,CBLN1
11,75562056,75572783,871,SERPINH1
21,36069941,36073166,873,CBR1
21,36134912,36146566,874,CBR3
21,43053191,43076943,875,CBS
9,36169394,36171334,881,CCIN
9,128832942,128882494,883,KYAT1
3,42257825,42266207,885,CCK
4,26481400,26490462,886,CCKAR
11,6259736,6272127,887,CCKBR
7,92198969,92246166,889,KRIT1
4,121816444,121823933,890,CCNA2
5,69167010,69178245,891,CCNB1
6,99542380,99568973,892,CCNC
12,4273772,4305350,894,CCND2
6,41934933,42050357,896,CCND3
19,29811898,29824308,898,CCNE1
16,2429394,2458854,899,CCNF
5,163437569,163446151,900,CCNG1
4,77157151,77433388,901,CCNG2
5,87391494,87413019,902,CCNH
12,48688458,48716998,904,CCNT1
2,134918235,134959342,905,CCNT2
7,56051630,56063989,908,CCT6A
1,158254137,158258269,909,CD1A
1,158327951,158331531,910,CD1B
1,158289786,158293630,911,CD1C
1,158179947,158184896,912,CD1D
1,158353696,158357553,913,CD1E
1,116754385,116769228,914,CD2
11,118338954,118342744,915,CD3D
11,118304545,118316175,916,CD3E
11,118344344,118355161,917,CD3G
1,167430640,167518610,919,CD247
12,6786858,6820808,920,CD4
11,61102395,61127852,921,CD5
1,157830914,157898256,922,CD5L
11,60971680,61020377,923,CD6
17,82314868,82317602,924,CD7
2,86784610,86808396,925,CD8A
2,86815339,86861924,926,CD8B
2,86815339,86861924,927,CD8B
12,6199715,6238271,928,CD9
5,140631728,140633701,929,CD14
16,28931939,28939346,930,CD19
11,60455752,60470760,931,MS4A1
11,60056587,60071128,932,MS4A3
19,35319261,35347355,933,CD22
12,6444867,6451718,939,CD27
2,203706475,203738912,940,CD28
3,119524293,119559602,941,CD80
3,122055366,122121139,942,CD86
1,12063377,12144207,943,TNFRSF8
9,114893343,114930595,944,TNFSF8
19,51225064,51243860,945,CD33
19,51519525,51531856,946,SIGLEC6
1,207880972,207911402,947,CD34
7,80369575,80679277,948,CD36
12,124776856,124882668,949,SCARB1
4,76158733,76234536,950,SCARB2
19,49335171,49343335,951,CD37
4,15778275,15853230,952,CD38
10,95711779,95869695,953,ENTPD1
9,137048098,137054045,954,ENTPD2
20,25195693,25226729,955,ENTPD6
3,40387156,40428619,956,ENTPD3
14,73958010,74019399,957,ENTPD5
20,46118272,46129863,958,CD40
11,35138870,35232402,960,CD44
3,108043298,108091025,961,CD47
1,160678746,160711851,962,CD48
1,110873154,110899928,963,CD53
1,116514535,116571039,965,CD58
11,33698261,33736445,966,CD59
12,55725323,55729707,967,CD63
17,7579467,7582113,968,CD68
12,9752486,9760901,969,CD69
19,6583183,6604103,970,CD70
9,35609533,35646810,971,CD72
5,150401637,150412929,972,CD74
19,41877120,41881372,973,CD79A
17,63928740,63932354,974,CD79B
11,2376177,2397419,975,CD81
19,14380501,14408725,976,ADGRE5
11,832843,839831,977,CD151
1,20588948,20618908,978,CDA
10,60778331,60794852,983,CDK1
1,1635227,1659012,984,CDK11B
4,150264531,151015727,987,LRBA
6,44387525,44450426,988,CDC5L
7,35800932,35907105,989,7-Sep
17,40287633,40304657,990,CDC6
1,43358955,43363203,991,CDC20
3,48157146,48188402,993,CDC25A
20,3786772,3806121,994,CDC25B
5,138285265,138338355,995,CDC25C
17,47117703,47189422,996,CDC27
19,531712,542092,997,CDC34
1,22052627,22092946,998,CDC42
16,68737225,68835548,999,CDH1
18,27950966,28177446,1000,CDH2
16,68636189,68722616,1001,CDH3
20,61252426,61940617,1002,CDH4
16,66366622,66404786,1003,CDH5
5,31193750,31329146,1004,CDH6
18,65750252,65890341,1005,CDH7
16,61647242,62037035,1006,CDH8
5,26880600,27121150,1007,CDH9
5,24487100,24644978,1008,CDH10
16,64943753,65126112,1009,CDH11
5,21750673,22853622,1010,CDH12
16,82626803,83800640,1012,CDH13
16,89171767,89195492,1013,CDH15
16,66908122,66918984,1014,CDH16
8,94127171,94217303,1015,CDH17
5,19472951,20575873,1016,CDH18
12,55966769,55972784,1017,CDK2
17,76000906,76005999,1018,CDK3
12,57747727,57756013,1019,CDK4
7,151053812,151058530,1020,CDK5
7,92604921,92836594,1021,CDK6
5,69234795,69277430,1022,CDK7
13,26254104,26405238,1024,CDK8
9,127785679,127790787,1025,CDK9
6,36676460,36687339,1026,CDKN1A
12,12715058,12722371,1027,CDKN1B
11,2883213,2885881,1028,CDKN1C
9,21967753,21995301,1029,CDKN2A
9,22002903,22009363,1030,CDKN2B
1,50960745,50974633,1031,CDKN2C
19,10566462,10569059,1032,CDKN2D
14,54396849,54420218,1033,CDKN3
5,115804733,115816954,1036,CDO1
16,22345936,22437165,1039,CDR2
4,84582979,84651338,1040,CDS1
6,31115090,31120446,1041,CDSN
1,26317957,26320523,1043,CD52
5,150166795,150184558,1044,CDX1
13,27962137,27971139,1045,CDX2
4,140388455,140427968,1047,CLGN
19,41708585,41729798,1048,CEACAM5
19,33299934,33302564,1050,CEBPA
20,50190734,50192689,1051,CEBPB
8,47736909,47739086,1052,CEBPD
14,23117304,23119616,1053,CEBPE
19,33373330,33382686,1054,CEBPG
9,133061978,133071861,1056,CEL
2,26764289,26801067,1058,CENPA
20,3783851,3786690,1059,CENPB
4,67468748,67545606,1060,CENPC
4,103105806,103198409,1062,CENPE
1,214603195,214664588,1063,CENPF
16,55802851,55833337,1066,CES1
18,580357,582114,1068,CETN1
5,90392261,90409786,1070,CETN3
16,56961850,56983845,1071,CETP
11,65823022,65862026,1072,CFL1
14,34706769,34714823,1073,CFL2
11,88293592,88337787,1075,CTSC
7,117465784,117715971,1080,CFTR
6,87085498,87095406,1081,CGA
19,49022869,49024333,1082,CGB3
19,41796437,41811553,1084,CEACAM3
19,41673307,41706976,1087,CEACAM7
19,42580241,42595055,1088,CEACAM8
19,41618971,41627074,1089,CEACAM4
17,50464496,50468966,1101,CHAD
13,48488959,48533256,1102,RCBTB2
10,49609095,49665104,1103,CHAT
1,28505943,28539300,1104,RCC1
5,98853985,98928957,1105,CHD1
15,92900189,93028005,1106,CHD2
17,7884806,7912760,1107,CHD3
12,6570083,6607476,1108,CHD4
10,5195462,5218949,1109,AKR1C4
11,125625136,125676255,1111,CHEK1
14,89124871,89619149,1112,FOXN3
14,92923080,92935293,1113,CHGA
20,5911430,5925361,1114,CHGB
1,203178931,203186749,1116,CHI3L1
1,111200771,111243440,1117,CHI3L2
1,203212827,203273641,1118,CHIT1
11,68052859,68121444,1119,CHKA
22,50578949,50601455,1120,CHKB
1,241628853,241640254,1122,CHML
2,174799363,175005369,1123,CHN1
7,29122274,29514328,1124,CHN2
11,62908679,62921807,1128,CHRM1
7,136868669,137020255,1129,CHRM2
1,235661041,235883640,1130,LYST
1,239386565,239915452,1131,CHRM3
11,46385098,46386608,1132,CHRM4
15,33968720,34067457,1133,CHRM5
2,174747592,174787935,1134,CHRNA1
8,27459761,27479883,1135,CHRNA2
15,78593052,78621295,1136,CHRNA3
20,63343223,63378401,1137,CHRNA4
15,78565520,78595269,1138,CHRNA5
15,31923438,32173018,1139,CHRNA7
17,7445061,7457707,1140,CHRNB1
1,154567781,154580026,1141,CHRNB2
8,42697376,42737407,1142,CHRNB3
15,78624119,78727754,1143,CHRNB4
2,232525993,232536667,1144,CHRND
17,4897774,4903074,1145,CHRNE
2,232539727,232546403,1146,CHRNG
10,100188298,100229619,1147,CHUK
18,12254319,12277595,1149,CIDEA
